,linenumber,geneid,genename,coverage,CNV
0,0,uc003zey.3,TMED10P1,35,0
2,2,uc003zfc.4,C8orf33,49,0
3,3,uc011llp.1,DDX11L5,26,0
4,4,uc010mgm.1,WASH1,73,0
5,5,uc003zfv.3,FAM138C,91,0
8,8,uc003zfz.4,FOXD4,107,2
9,9,uc003zga.4,CBWD1,104,2
10,10,uc003zge.4,C9orf66,21,2
11,11,uc003zgf.2,DOCK8,63,2
12,12,uc003zgn.2,KANK1,66,2
13,13,uc003zgv.3,DMRT1,38,2
14,14,uc003zgw.2,DMRT3,64,2
16,16,uc003zha.3,DMRT2,94,2
17,17,uc003zhc.3,SMARCA2,56,2
20,20,uc003zhk.1,VLDLR,71,2
21,21,uc003zho.2,KCNV2,48,2
22,22,uc003zhp.1,KIAA0020,72,2
24,24,uc003zhr.3,RFX3,59,2
26,26,uc003zhx.1,GLIS3,42,2
27,27,uc003zia.3,GLIS3-AS1,29,2
28,28,uc022bcy.1,Mir_320,74,2
29,29,uc003zij.2,SLC1A1,65,2
30,30,uc011llz.2,SPATA6L,44,2
31,31,uc003zin.4,PPAPDC2,46,2
32,32,uc003zio.3,CDC37L1,59,2
33,33,uc003ziq.2,AK3,51,2
34,34,uc003zis.2,RCL1,49,2
35,35,uc003ziu.1,MIR101-2,67,2
36,36,uc003ziw.3,JAK2,67,2
38,38,uc003zix.3,INSL6,87,2
39,39,uc003ziy.3,INSL4,49,2
40,40,uc003zja.2,RLN2,74,2
41,41,uc003zjb.2,RLN1,57,2
42,42,uc003zjc.3,PLGRKT,42,2
43,43,uc003zje.3,CD274,58,2
44,44,uc003zjg.4,PDCD1LG2,63,1
45,45,uc003zji.4,KIAA1432,81,1
46,46,uc003zjm.1,ERMP1,68,1
47,47,uc003zjo.1,MLANA,55,1
48,48,uc003zjq.4,KIAA2026,156,1
49,49,uc022bde.1,MIR4665,5,1
50,50,uc003zjr.3,RANBP6,141,1
51,51,uc003zjt.3,IL33,49,1
52,52,uc003zjw.3,TPD52L3,85,1
53,53,uc003zjy.3,UHRF2,58,1
54,54,uc003zkc.3,GLDC,64,2
55,55,uc003zkh.3,KDM4C,59,2
56,56,uc022bdg.1,DQ580140,94,2
58,58,uc003zkj.3,C9orf123,27,2
59,59,uc003zkk.3,PTPRD,43,2
64,64,uc003zkv.4,TYRP1,40,0
65,65,uc003zkw.3,LURAP1L,58,0
66,66,uc003zlb.4,MPDZ,68,0
68,68,uc022bdn.1,LINC00583,26,0
69,69,uc003zlf.3,NFIB,43,0
71,71,uc003zlg.2,ZDHHC21,40,0
72,72,uc003zlh.2,ZDHHC21,42,0
73,73,uc003zlj.3,CER1,45,0
74,74,uc003zlm.3,FREM1,73,0
75,75,uc003zln.1,AK127963,47,0
76,76,uc010mid.1,LOC389705,36,0
78,78,uc003zlr.2,TTC39B,38,0
79,79,uc003zlt.3,SNAPC3,56,0
80,80,uc003zlw.4,PSIP1,58,0
81,81,uc003zmd.3,CCDC171,45,0
83,83,uc031tcu.1,C9orf92,23,1
85,85,uc003zml.3,BNC2,41,1
86,86,uc003zmy.3,CNTLN,67,1
87,87,uc003zna.3,SH3GL2,51,1
88,88,uc003zne.4,ADAMTSL1,63,1
91,91,uc003zni.2,FAM154A,53,1
92,92,uc003znj.3,RRAGA,73,1
93,93,uc003znk.4,HAUS6,63,1
94,94,uc003znn.1,SCARNA8,92,1
95,95,uc003zno.3,PLIN2,100,1
97,97,uc022bdw.1,DQ572382,19,2
98,98,uc031tcw.1,DENND4C,85,2
99,99,uc003znv.1,RPS6,79,2
101,101,uc003zny.1,ACER2,66,2
102,102,uc003zoa.2,SLC24A2,57,2
103,103,uc003zoe.2,MLLT3,45,0
107,107,uc003zog.1,FOCAD,42,0
108,108,uc022beb.1,MIR491,46,0
109,109,uc022bec.1,SNORA30,16,0
110,110,uc010mir.1,PTPLAD2,41,0
111,111,uc003zok.3,IFNB1,88,0
112,112,uc003zol.1,IFNW1,65,0
113,113,uc003zom.2,IFNA21,130,0
114,114,uc003zon.2,IFNA4,115,0
115,115,uc003zop.1,IFNA7,133,0
116,116,uc003zoq.1,IFNA10,134,0
117,117,uc003zor.1,IFNA16,124,0
118,118,uc003zos.1,IFNA17,121,0
119,119,uc010mis.3,IFNA14,132,0
120,120,uc003zou.1,IFNA22P,75,0
121,121,uc011lnh.2,IFNA5,129,0
122,122,uc003zoy.3,KLHL9,99,0
